po_number,line_number,description,amount,cost_centre,wbse
4500000026,20,Q2 2024 - shrink sleeve supply,50790.00,0000001310,PRJ-2025-018.1
4500000026,30,Q3 2024 - polypropylene resin supply,20925.00,0000001310,
4500000026,40,Q4 2024 - flexible film supply,83416.00,0000001310,
4500000027,10,shrink sleeve supply - May 2024,59556.00,0000001040,
4500000028,10,label stock supply - Oct 2025,32680.00,0000001310,
4500000029,10,Q1 2025 - label stock supply,17986.00,0000001040,
4500000029,20,Q1 2025 - corrugated carton supply,22666.80,0000001040,PRJ-2025-018.1
4500000029,30,Q2 2025 - bottle closure supply,114215.80,,PRJ-2025-002.2
4500000029,40,Q3 2025 - flexible film supply,87524.00,0000001040,
4500000029,50,Q4 2025 - bottle closure supply,132595.00,0000001310,
4500000030,10,Q1 2025 - shrink sleeve supply,114814.35,0000001310,
4500000030,20,Q2 2025 - polystyrene sheet supply,116525.25,0000001310,PRJ-2025-018.1
4500000030,30,Q3 2025 - shrink sleeve supply,56310.00,,PRJ-2025-018.1
4500000030,40,Q4 2025 - corrugated carton supply,66105.70,0000001040,
4500000031,10,Q1 2025 - conveyor servicing,24320.00,0000001110,PRJ-2025-009.1
4500000031,20,Q2 2025 - spare parts supply,109175.00,0000001110,
4500000031,30,Q3 2025 - conveyor servicing,105903.00,0000001410,
4500000031,40,Q4 2025 - equipment calibration services,132749.10,,PRJ-2024-007.2
4500000032,10,boiler inspection services - Mar 2025,40929.00,0000001410,
4500000033,10,Q1 2024 - boiler inspection services,50009.00,,PRJ-2024-015.1
4500000033,20,Q2 2024 - conveyor servicing,22127.00,,PRJ-2024-015.1
4500000033,30,Q3 2024 - plant engineering support,132507.00,0000001120,
4500000033,40,Q4 2024 - spare parts supply,105836.00,0000001110,
4500000034,10,Q1 2025 - preventive maintenance services,109639.00,,PRJ-2025-009.1
4500000034,20,Q2 2025 - conveyor servicing,86596.00,0000001410,
4500000034,30,Q3 2025 - equipment calibration services,88129.00,0000001120,PRJ-2024-007.2
4500000034,40,Q4 2025 - boiler inspection services,60916.00,0000001110,
4500000035,10,boiler inspection services - Dec 2025,13350.05,0000001410,
4500000036,10,plant engineering support - Jul 2024,21869.00,,PRJ-2024-007.2
4500000037,10,Q1 2025 - plant engineering support,40178.20,0000001120,
4500000037,20,Q2 2025 - spare parts supply,29770.20,0000001120,
4500000037,30,Q3 2025 - preventive maintenance services,110829.30,0000001410,
4500000037,40,Q4 2025 - equipment calibration services,60352.00,0000001110,
4500000038,10,Q1 2024 - boiler inspection services,52898.25,0000001120,
4500000038,20,Q2 2024 - boiler inspection services,38270.05,0000001410,
4500000038,30,Q3 2024 - spare parts supply,141649.00,0000001110,PRJ-2024-007.2
4500000038,40,Q4 2024 - preventive maintenance services,142813.00,0000001120,
4500000039,10,conveyor servicing - Dec 2024,48805.15,0000001120,
4500000040,10,Q1 2024 - preventive maintenance services,116768.00,0000001120,
4500000040,20,Q2 2024 - conveyor servicing,121029.15,0000001410,
4500000040,30,Q3 2024 - boiler inspection services,38460.00,0000001120,PRJ-2025-009.1
4500000040,40,Q4 2024 - preventive maintenance services,132546.80,0000001410,
4500000041,10,Q1 2025 - equipment calibration services,14952.00,0000001110,
4500000041,20,Q2 2025 - spare parts supply,45456.00,0000001110,
4500000041,30,Q3 2025 - equipment calibration services,121979.00,0000001120,PRJ-2024-007.2
4500000041,40,Q4 2025 - boiler inspection services,19400.05,0000001110,
4500000042,10,Q1 2025 - spare parts supply,23998.00,0000001120,PRJ-2025-009.1
4500000042,20,Q2 2025 - emergency callout support,17744.00,0000001410,
4500000042,30,Q3 2025 - plant engineering support,116798.00,0000001120,
4500000042,40,Q4 2025 - equipment calibration services,68989.30,0000001110,PRJ-2025-009.1
4500000043,10,Q1 2024 - equipment calibration services,100492.00,0000001110,
4500000043,20,Q2 2024 - emergency callout support,69290.00,0000001120,
4500000043,30,Q3 2024 - conveyor servicing,106736.00,0000001120,
4500000043,40,Q4 2024 - boiler inspection services,28872.85,0000001120,PRJ-2025-009.1
4500000044,10,pallet storage services - May 2025,53780.00,0000001310,
4500000045,10,pallet storage services - Feb 2024,55261.45,0000001310,
4500000046,10,Q1 2024 - warehouse handling services,126477.00,,PRJ-2025-011.1
4500000046,20,Q2 2024 - warehouse handling services,42460.30,0000001310,
4500000046,30,Q3 2024 - pallet storage services,90735.40,0000001310,
4500000046,40,Q4 2024 - pallet storage services,46295.00,0000001330,
4500000047,10,pallet storage services - Jan 2024,14325.00,,PRJ-2025-011.1
4500000048,10,Q1 2025 - equipment calibration services,15417.25,0000001110,PRJ-2024-015.1
4500000048,20,Q2 2025 - spare parts supply,58312.00,,PRJ-2024-007.2
4500000048,30,Q3 2025 - boiler inspection services,112503.60,0000001410,
4500000048,40,Q4 2025 - equipment calibration services,89059.00,,PRJ-2024-007.2
4500000048,50,Q4 2025 - conveyor servicing,104670.75,,PRJ-2025-009.1
4500000049,10,polypropylene resin supply - May 2025,48142.00,0000001040,
4500000050,10,refined flour supply - Nov 2025,22989.00,,PRJ-2024-007.1
4500000051,10,invert syrup supply - May 2024,19686.00,0000001030,PRJ-2024-007.1
4500000052,10,Q1 2025 - invert syrup supply,101663.00,0000001020,
4500000052,20,Q2 2025 - corn syrup supply,60920.00,,PRJ-2025-002.1
4500000052,30,Q3 2025 - cane sugar supply,89985.75,,PRJ-2024-007.1
4500000052,40,Q4 2025 - invert syrup supply,83602.00,0000001030,
4500000053,10,Q1 2024 - refined flour supply,115949.25,0000001010,
4500000053,20,Q2 2024 - cane sugar supply,124999.00,0000001010,
4500000053,30,Q3 2024 - bakers yeast supply,23103.00,0000001020,
4500000053,40,Q4 2024 - bakers yeast supply,36946.65,,PRJ-2024-007.1
4500000054,10,Q1 2025 - paprika extract supply,138011.25,,PRJ-2025-002.1
4500000054,20,Q2 2025 - cane sugar supply,90660.00,,PRJ-2024-007.1
4500000054,30,Q3 2025 - corn syrup supply,42101.00,0000001010,
4500000054,40,Q4 2025 - cocoa powder supply,104528.95,,PRJ-2024-007.1
4500000055,10,corn syrup supply - May 2024,15607.00,0000001020,
4500000056,10,cane sugar supply - Oct 2025,39798.00,0000001010,
4500000057,10,Q1 2024 - corn syrup supply,77125.00,0000001030,
4500000057,20,Q1 2024 - invert syrup supply,77156.60,0000001010,
4500000057,30,Q2 2024 - refined flour supply,90648.00,0000001020,
4500000057,40,Q3 2024 - food grade salt supply,45315.05,0000001030,
4500000057,50,Q4 2024 - food grade salt supply,86977.90,,PRJ-2025-002.1
4500000058,10,Q1 2024 - bakers yeast supply,55482.00,0000001030,
4500000058,20,Q2 2024 - invert syrup supply,32525.60,0000001010,PRJ-2024-007.1
4500000058,30,Q3 2024 - corn syrup supply,100114.50,0000001030,
4500000058,40,Q4 2024 - corn syrup supply,106306.00,0000001020,
4500000059,10,Q1 2025 - cocoa powder supply,104142.60,0000001010,
4500000059,20,Q2 2025 - cane sugar supply,25445.00,,PRJ-2025-002.1
4500000059,30,Q3 2025 - cocoa powder supply,117492.00,0000001030,PRJ-2025-002.1
4500000059,40,Q4 2025 - cane sugar supply,55622.60,0000001020,
4500000060,10,Q1 2024 - invert syrup supply,24029.55,0000001020,
4500000060,20,Q2 2024 - invert syrup supply,75695.00,0000001030,PRJ-2024-007.1
4500000060,30,Q3 2024 - cocoa powder supply,75526.00,0000001010,
4500000060,40,Q3 2024 - paprika extract supply,26294.00,0000001030,
4500000060,50,Q4 2024 - corn syrup supply,128368.00,,PRJ-2025-002.1
4500000061,10,Q1 2024 - metofluthrin supply,114467.00,0000001220,
4500000061,20,Q2 2024 - oxybenzone supply,117944.00,0000001220,PRJ-2025-002.1
4500000061,30,Q3 2024 - avobenzone supply,74107.00,0000001210,PRJ-2025-018.1
4500000061,40,Q4 2024 - oxybenzone supply,31300.85,0000001030,
4500000062,10,metofluthrin supply - Dec 2024,58920.00,0000001220,
4500000063,10,Q1 2025 - metofluthrin supply,28299.00,,PRJ-2025-018.1
4500000063,20,Q2 2025 - vitamin E acetate supply,32653.80,,PRJ-2025-002.1
4500000063,30,Q2 2025 - emulsifier blend supply,99608.00,0000001210,
4500000063,40,Q3 2025 - vitamin E acetate supply,40830.00,0000001030,
4500000063,50,Q4 2025 - emulsifier blend supply,64836.00,0000001220,
4500000064,10,Q1 2024 - avobenzone supply,80183.00,,PRJ-2025-018.1
4500000064,20,Q2 2024 - benzophenone supply,97422.00,,PRJ-2025-018.1
4500000064,30,Q3 2024 - metofluthrin supply,102652.10,0000001030,PRJ-2025-002.1
4500000064,40,Q4 2024 - benzophenone supply,90280.00,0000001210,
4500000065,10,emulsifier blend supply - May 2024,45988.30,,PRJ-2025-002.1
4500000066,10,Q1 2025 - vitamin E acetate supply,61986.00,0000001220,
4500000066,20,Q2 2025 - oxybenzone supply,128000.45,0000001210,PRJ-2025-002.1
4500000066,30,Q3 2025 - oxybenzone supply,38747.00,0000001210,
4500000066,40,Q4 2025 - metofluthrin supply,43595.00,0000001220,
4500000067,10,benzophenone supply - Sep 2024,40163.00,0000001210,
4500000068,10,metofluthrin supply - Nov 2025,7350.45,,PRJ-2025-002.1
4500000069,10,vitamin E acetate supply - Aug 2024,3435.00,0000001210,
4500000070,10,Q1 2024 - avobenzone supply,38339.00,0000001210,
4500000070,20,Q2 2024 - oxybenzone supply,92091.00,,PRJ-2025-018.1
4500000070,30,Q3 2024 - vitamin E acetate supply,53939.00,,PRJ-2025-018.1
4500000070,40,Q4 2024 - emulsifier blend supply,67008.85,0000001030,
4500000071,10,Q1 2024 - shrink sleeve supply,125979.00,0000001310,
4500000071,20,Q2 2024 - bottle closure supply,107856.00,0000001040,
4500000071,30,Q3 2024 - flexible film supply,98771.85,0000001040,
4500000071,40,Q4 2024 - corrugated carton supply,39466.00,0000001310,
4500000072,10,Q1 2025 - label stock supply,107084.00,0000001310,PRJ-2025-002.2
4500000072,20,Q2 2025 - corrugated carton supply,23926.00,,PRJ-2025-018.1
4500000072,30,Q3 2025 - shrink sleeve supply,33033.05,0000001310,
4500000072,40,Q4 2025 - polystyrene sheet supply,58686.00,0000001040,
4500000073,10,Q1 2025 - corrugated carton supply,118282.00,0000001040,
4500000073,20,Q2 2025 - label stock supply,74113.00,,PRJ-2025-018.1
4500000073,30,Q3 2025 - polystyrene sheet supply,116836.00,0000001310,
4500000073,40,Q4 2025 - corrugated carton supply,109372.00,0000001310,
4500000073,50,Q4 2025 - label stock supply,34283.45,0000001310,PRJ-2025-018.1
4500000074,10,Q1 2025 - polystyrene sheet supply,44642.00,0000001310,
4500000074,20,Q2 2025 - polystyrene sheet supply,109569.00,,PRJ-2025-002.2
4500000074,30,Q3 2025 - corrugated carton supply,66433.00,0000001310,
4500000074,40,Q4 2025 - corrugated carton supply,58156.00,0000001310,
4500000075,10,shrink sleeve supply - Dec 2025,16136.50,,PRJ-2025-018.1
4500000076,10,Q1 2024 - corrugated carton supply,75566.45,,PRJ-2025-018.1
4500000076,20,Q2 2024 - bottle closure supply,91108.00,,PRJ-2025-018.1
4500000076,30,Q3 2024 - shrink sleeve supply,82417.05,0000001040,
4500000076,40,Q4 2024 - label stock supply,64060.45,0000001310,
4500000077,10,Q1 2024 - polypropylene resin supply,64413.00,0000001040,
4500000077,20,Q2 2024 - corrugated carton supply,145964.00,0000001040,
4500000077,30,Q2 2024 - shrink sleeve supply,138480.00,0000001040,
4500000077,40,Q3 2024 - corrugated carton supply,57605.80,0000001040,
4500000077,50,Q3 2024 - label stock supply,143529.75,0000001040,
4500000077,60,Q4 2024 - polystyrene sheet supply,147921.00,0000001310,
4500000078,10,Q1 2025 - bottle closure supply,94378.00,0000001310,
4500000078,20,Q2 2025 - polypropylene resin supply,132898.00,,PRJ-2025-002.2
4500000078,30,Q3 2025 - bottle closure supply,148275.05,0000001310,
4500000078,40,Q4 2025 - corrugated carton supply,129260.40,0000001310,
4500000079,10,Q1 2025 - label stock supply,36702.00,,PRJ-2025-018.1
4500000079,20,Q2 2025 - bottle closure supply,86150.00,,PRJ-2025-018.1
4500000079,30,Q3 2025 - flexible film supply,139286.00,,PRJ-2025-018.1
4500000079,40,Q4 2025 - polystyrene sheet supply,109435.30,0000001310,
4500000080,10,corrugated carton supply - Dec 2024,24180.00,0000001310,PRJ-2025-002.2
4500000081,10,conveyor servicing - Dec 2024,46278.00,0000001410,
4500000082,10,Q1 2025 - plant engineering support,85251.50,0000001410,
4500000082,20,Q2 2025 - spare parts supply,98122.65,0000001120,
4500000082,30,Q3 2025 - preventive maintenance services,137164.00,0000001120,PRJ-2024-015.1
4500000082,40,Q4 2025 - plant engineering support,55028.00,0000001120,
4500000083,10,equipment calibration services - Sep 2024,9646.05,0000001410,
4500000084,10,Q1 2024 - equipment calibration services,34448.00,,PRJ-2025-009.1
4500000084,20,Q2 2024 - emergency callout support,144695.00,0000001120,
4500000084,30,Q3 2024 - emergency callout support,14576.10,0000001110,
4500000084,40,Q4 2024 - preventive maintenance services,131473.00,0000001120,
4500000084,50,Q4 2024 - conveyor servicing,99045.45,0000001120,
4500000085,10,Q1 2024 - preventive maintenance services,109925.00,0000001120,
4500000085,20,Q2 2024 - preventive maintenance services,29694.00,0000001110,
4500000085,30,Q3 2024 - plant engineering support,70411.65,0000001410,
4500000085,40,Q4 2024 - equipment calibration services,51916.00,0000001410,
4500000086,10,preventive maintenance services - Aug 2024,37504.00,0000001120,
4500000087,10,emergency callout support - Mar 2024,30261.80,,PRJ-2024-015.1
4500000088,10,Q1 2024 - emergency callout support,137440.00,0000001410,
4500000088,20,Q2 2024 - plant engineering support,141552.00,0000001110,
4500000088,30,Q3 2024 - preventive maintenance services,83379.10,0000001120,PRJ-2025-009.1
4500000088,40,Q4 2024 - preventive maintenance services,119879.00,0000001410,
4500000089,10,Q1 2024 - boiler inspection services,50109.00,0000001110,
4500000089,20,Q2 2024 - equipment calibration services,81120.30,0000001410,
4500000089,30,Q3 2024 - preventive maintenance services,37112.00,0000001410,
4500000089,40,Q4 2024 - emergency callout support,48684.15,0000001410,
4500000089,50,Q4 2024 - boiler inspection services,18883.00,,PRJ-2025-009.1
4500000090,10,plant engineering support - May 2025,28697.50,0000001120,
4500000091,10,Q1 2024 - conveyor servicing,50842.00,,PRJ-2024-015.1
4500000091,20,Q2 2024 - equipment calibration services,57994.00,,PRJ-2025-009.1
4500000091,30,Q2 2024 - emergency callout support,132876.65,0000001410,
4500000091,40,Q3 2024 - spare parts supply,99468.00,,PRJ-2025-009.1
4500000091,50,Q4 2024 - spare parts supply,82581.00,,PRJ-2024-007.2
4500000092,10,Q1 2025 - spare parts supply,121494.00,0000001120,
4500000092,20,Q2 2025 - plant engineering support,125703.00,,PRJ-2024-015.1
4500000092,30,Q3 2025 - preventive maintenance services,120161.90,0000001120,
4500000092,40,Q4 2025 - boiler inspection services,66457.00,0000001110,
4500000093,10,Q1 2025 - boiler inspection services,40556.00,,PRJ-2024-015.1
4500000093,20,Q1 2025 - preventive maintenance services,44504.00,0000001120,
4500000093,30,Q2 2025 - conveyor servicing,48869.80,,PRJ-2024-015.1
4500000093,40,Q2 2025 - spare parts supply,63843.65,0000001110,
4500000093,50,Q3 2025 - conveyor servicing,147580.00,,PRJ-2024-007.2
4500000093,60,Q4 2025 - plant engineering support,137448.00,0000001410,
4500000094,10,Q1 2025 - pallet storage services,43892.95,,PRJ-2024-015.1
4500000094,20,Q2 2025 - pallet storage services,111380.00,0000001310,
4500000094,30,Q2 2025 - warehouse handling services,95800.00,0000001330,
4500000094,40,Q3 2025 - outbound distribution services,57358.80,,PRJ-2024-015.1
4500000094,50,Q4 2025 - warehouse handling services,54787.00,0000001310,PRJ-2024-015.1
4500000095,10,Q1 2025 - inbound freight services,80728.00,0000001330,
4500000095,20,Q1 2025 - pallet storage services,70185.20,0000001320,
4500000095,30,Q2 2025 - warehouse handling services,41025.00,,PRJ-2025-011.1
4500000095,40,Q3 2025 - warehouse handling services,140417.00,0000001330,
4500000095,50,Q4 2025 - warehouse handling services,124980.75,0000001310,
4500000095,60,Q4 2025 - cold chain transport services,67142.75,0000001330,
4500000096,10,inbound freight services - Nov 2025,55194.05,0000001330,
4500000097,10,outbound distribution services - Sep 2025,51265.00,0000001310,
4500000098,10,spare parts supply - Oct 2025,55314.00,0000001120,
4500000099,10,polypropylene resin supply - Jan 2024,35241.00,,PRJ-2025-018.1
4500000100,10,Q1 2025 - invert syrup supply,114498.00,0000001020,
4500000100,20,Q2 2025 - cocoa powder supply,148373.00,0000001020,
4500000100,30,Q3 2025 - cane sugar supply,140563.00,0000001030,
4500000100,40,Q3 2025 - bakers yeast supply,51521.20,0000001010,
4500000100,50,Q4 2025 - refined flour supply,118942.00,0000001020,
