invoice_no,line_number,po_number,po_line_number,amount,line_text
5105600090,10,4500000074,10,19587.15,PS sheet Q1/25
5105600091,10,4500000049,10,2137.80,PP resin - May25
5105600092,10,4500000097,10,13471.39,Sep25 outbound distrib
5105600093,10,4500000077,50,45086.98,Label stock Q3 24
5105600094,10,4500000048,50,79378.38,Q4/25 conveyor servicing
5105600095,10,4500000048,50,10970.66,Q4 25 conveyor servicing
5105600096,10,4500000049,10,2544.35,PP resin - 05/25
5105600097,10,4500000054,10,13810.87,Paprika extract - Q1-2025
5105600098,10,4500000030,20,97657.61,PS sheet - Q2/25
5105600099,10,4500000053,20,23954.77,Q2/24 cane sugar
5105600100,10,4500000070,40,45681.66,Q4 24 emuls blend
5105600101,10,4500000060,40,20619.19,Paprika extract Q3/24
5105600102,10,4500000019,10,10088.43,Emuls blend - Q1-2025
5105600103,10,4500000033,30,48812.91,Q3 24 plant eng support
5105600104,10,4500000010,40,7750.54,Invert syrup - Q4 24
5105600105,10,4500000061,10,69594.79,Metofluthrin - Q1 24
5105600106,10,4500000032,10,5645.78,Boiler insp Mar25
5105600107,10,4500000100,10,83038.23,Invert syrup - Q1-2025
5105600108,10,4500000085,20,4870.63,Prev maint - Q2 24
5105600109,10,4500000093,50,44980.78,Q3/25 conveyor servicing
5105600110,10,4500000040,30,9284.02,Boiler insp Q3 24
5105600111,10,4500000063,20,22843.89,Vit E acetate Q2 25
5105600112,10,4500000063,40,31003.58,Q3/25 Vit E acetate
5105600113,10,4500000097,10,15122.05,Outbound distrib - 09/25
5105600114,10,4500000058,20,12341.32,Invert syrup Q2-2024
5105600115,10,4500000021,30,34016.79,PS sheet Q3-2024
5105600116,10,4500000097,10,15617.83,Outbound distrib Sep25
5105600117,10,4500000077,20,101612.48,Corr carton - Q2 24
5105600118,10,4500000088,10,102221.15,Q1 24 emerg callout support
5105600119,10,4500000071,40,24169.93,Q4/24 corr carton
5105600120,10,4500000060,20,27013.78,Invert syrup - Q2-2024
