invoice_no,vendor_id,invoice_date,currency,po_number,amount,status,invoice_description,lines_description,billing_tax_id,billing_address
5105600023,0000140112,2025-10-04,GBP,4500000022,6398.24,posted,"Invoice for label stock deliveries, Q3/2025","[""label stock deliveries, Q3/2025""]",GB 119756443,"104 Quayside Trading Estate, Swansea, SA13 8DV"
5105600024,0000104882,2024-08-05,GBP,4500000002,41770.29,posted,"Tax invoice: cane sugar consignments, Apr-Jun 2024","[""cane sugar consignments, Apr-Jun 2024"", ""administration fee""]",GB993905029,"142 Quayside Trd Est, Sheffield, S4 1PO, GB"
5105600025,0000177260,2024-10-14,USD,4500000046,13219.59,posted,"pallet storage carried out, Jul-Sep 2024","[""pallet storage carried out, Jul-Sep 2024"", ""handling charges""]",70-6250260,"27 Harbor Point Road, Fresno CA, 78324, US"
5105600026,0000174031,2026-02-02,USD,4500000094,22532.06,posted,"provision of warehouse handling, fourth quarter 2025 as per agreement","[""provision of warehouse handling, fourth quarter 2025""]",32-8397716,"90 Beckford Road, Louisville KY, 31734, US"
5105600027,0000110264,2025-10-06,USD,4500000005,58488.48,posted,"Tax invoice: charges for cane sugar, third quarter 2025","[{""sno"": 1, ""text"": ""charges for cane sugar, third quarter 2025"", ""qty"": 1, ""amount"": ""58488.48""}]",42-7903254,"218 Cooperage Drive, Tacoma WA, 82307, US"
5105600028,0000170913,2025-05-03,USD,4500000092,37040.26,posted,"spare parts deliveries, Q1/2025 as per agreement","[{""sno"": 1, ""text"": ""spare parts deliveries, Q1/2025"", ""qty"": 1, ""amount"": ""37040.26""}]",343076996,"135 Depot Street, Newark NJ, 87314, US"
5105600029,0000106235,2024-07-25,USD,4500000053,89867.65,posted,"charges for cane sugar, April to June 2024 as per agreement","[{""sno"": 1, ""text"": ""charges for cane sugar, April to June 2024"", ""qty"": 1, ""amount"": ""23068.16""}, {""sno"": 2, ""text"": ""handling charges"", ""qty"": 1, ""amount"": ""52114.77""}, {""sno"": 3, ""text"": ""packaging and freight"", ""qty"": 1, ""amount"": ""14684.72""}]",68-1680926,"161 Beckford Road, Louisville KY, 83872, US"
5105600030,0000166375,2024-04-14,USD,4500000089,34777.96,posted,"provision of boiler inspection, Jan-Mar 2024","[{""sno"": 1, ""text"": ""provision of boiler inspection, Jan-Mar 2024"", ""qty"": 1, ""amount"": ""34777.96""}]",83-3318153,"220 Union Wharf Dr, Savannah GA, 12043, US"
5105600031,0000161885,2024-09-19,USD,4500000086,29911.08,posted,"provision of preventive maintenance, Aug/2024 as per agreement","[{""sno"": 1, ""text"": ""provision of preventive maintenance, Aug/2024"", ""qty"": 1, ""amount"": ""9865.32""}, {""sno"": 2, ""text"": ""delivery charges"", ""qty"": 1, ""amount"": ""15554.38""}, {""sno"": 3, ""text"": ""delivery charges"", ""qty"": 1, ""amount"": ""4491.38""}]",899357721,"65 Ironworks Parkway, Tacoma WA, 56035, US"
5105600032,0000148194,2024-06-11,USD,4500000027,23878.25,posted,"Invoice for shrink sleeve - goods supplied, May/2024","[""shrink sleeve - goods supplied, May/2024""]",29-7179192,"113 Canal Street, Tacoma WA, 38604, US"
5105600033,0000158964,2025-07-04,USD,4500000034,73550.88,posted,"conveyor servicing works, Apr-Jun 2025 as per agreement","[""conveyor servicing works, Apr-Jun 2025""]",,"140 Harbor Point Road, Milwaukee WI, 24525, US"
5105600034,0000114501,2024-07-12,USD,4500000007,33191.70,posted,"Tax invoice: charges for bakers yeast, Apr-Jun 2024","[""charges for bakers yeast, Apr-Jun 2024"", ""delivery charges"", ""delivery charges""]",74-7102493,"24 Depot St, Newark NJ, 25923"
5105600035,0000167802,2025-01-28,USD,4500000040,58033.26,posted,"Invoice for provision of preventive maintenance, Oct-Dec 2024","[""provision of preventive maintenance, Oct-Dec 2024"", ""administration fee""]",92-3944387,"217 Kiln Ln, Milwaukee WI, US"
5105600036,0000170913,2025-04-22,USD,4500000092,53057.55,posted,"Invoice for charges for spare parts, Jan-Mar 2025","[""charges for spare parts, Jan-Mar 2025""]",343076996,"135 Depot St, Newark NJ, US"
5105600037,0000152493,2025-04-10,USD,4500000030,42748.55,posted,"Billing - charges for shrink sleeve, January to March 2025","[{""sno"": 1, ""text"": ""charges for shrink sleeve, January to March 2025"", ""qty"": 1, ""amount"": ""16964.73""}, {""sno"": 2, ""text"": ""delivery charges"", ""qty"": 1, ""amount"": ""25783.82""}]",51-8363806,"159 Depot St, Fresno CA, US"
5105600038,0000155836,2025-11-04,USD,4500000082,66696.09,posted,"preventive maintenance - services rendered, third quarter 2025","[{""sno"": 1, ""text"": ""preventive maintenance - services rendered, third quarter 2025"", ""qty"": 1, ""amount"": ""66696.09""}]",605517580,"87 Union Wharf Dr, Newark NJ, 20821"
5105600039,0000118340,2025-04-21,USD,4500000009,7449.89,posted,"Invoice for bakers yeast - goods supplied, Mar/2025","[""bakers yeast - goods supplied, Mar/2025"", ""handling charges""]",,"174 Cooperage Drive, Newark NJ, 91970, US"
5105600040,0000164918,2024-04-25,USD,4500000038,26580.87,posted,"Tax invoice: charges for boiler inspection, first quarter 2024","[""charges for boiler inspection, first quarter 2024""]",88-1612721,"157 Cooperage Drive, Louisville KY, 76756, US"
5105600041,0000143209,2024-04-16,USD,4500000024,22492.96,posted,"supply of polystyrene sheet, first quarter 2024","[{""sno"": 1, ""text"": ""supply of polystyrene sheet, first quarter 2024"", ""qty"": 1, ""amount"": ""7665.31""}, {""sno"": 2, ""text"": ""delivery charges"", ""qty"": 1, ""amount"": ""14827.65""}]",,"112 Ironworks Parkway, Chicago IL, 98375, US"
5105600042,0000158964,2025-02-01,USD,4500000084,84015.86,posted,"Tax invoice: preventive maintenance works, Oct-Dec 2024","[{""sno"": 1, ""text"": ""preventive maintenance works, Oct-Dec 2024"", ""qty"": 1, ""amount"": ""84015.86""}]",48-1123331,"140 Harbor Point Road, Milwaukee WI, 24525, US"
5105600043,0000132157,2024-10-31,USD,4500000067,27258.45,posted,"benzophenone consignments, September 2024 as per agreement","[""benzophenone consignments, September 2024""]",78-9936017,"173 Beckford Road, Milwaukee WI, 59218"
5105600044,0000119925,2024-04-10,USD,4500000060,12995.90,posted,"Invoice for supply of invert syrup, January to March 2024","[{""sno"": 1, ""text"": ""supply of invert syrup, January to March 2024"", ""qty"": 1, ""amount"": ""8980.85""}, {""sno"": 2, ""text"": ""administration fee"", ""qty"": 1, ""amount"": ""4015.05""}]",57-9067774,"50 Depot Street, Fresno CA, 60214, US"
5105600045,0000110264,2025-07-13,USD,4500000005,59175.31,posted,"bakers yeast deliveries, second quarter 2025 as per agreement","[""bakers yeast deliveries, second quarter 2025""]",42-7903254,"218 Cooperage Dr, Tacoma WA, 82307, US"
5105600046,0000154170,2025-11-02,USD,4500000031,86897.62,posted,"Billing - provision of conveyor servicing, July to September 2025","[""provision of conveyor servicing, July to September 2025"", ""handling charges"", ""administration fee""]",298252113,"169 Ironworks Parkway, Milwaukee WI, US"
5105600047,0000149657,2026-01-21,USD,4500000078,88804.89,posted,"charges for corrugated carton, October to December 2025 as per agreement","[{""sno"": 1, ""text"": ""charges for corrugated carton, October to December 2025"", ""qty"": 1, ""amount"": ""88804.89""}]",22-7691279,"159 Foundry Avenue, Tacoma WA, 35733, US"
5105600048,0000119925,2025-01-13,USD,4500000060,89199.79,posted,"Tax invoice: supply of corn syrup, Oct-Dec 2024","[""supply of corn syrup, Oct-Dec 2024""]",,"50 Depot Street, Fresno CA, US"
5105600049,0000161885,2024-08-25,USD,4500000036,10544.57,posted,"Invoice for charges for plant engineering support, Jul/2024","[{""sno"": 1, ""text"": ""charges for plant engineering support, Jul/2024"", ""qty"": 1, ""amount"": ""1623.98""}, {""sno"": 2, ""text"": ""packaging and freight"", ""qty"": 1, ""amount"": ""3908.79""}, {""sno"": 3, ""text"": ""fuel surcharge"", ""qty"": 1, ""amount"": ""5011.80""}]",,"65 Ironworks Pkwy, Tacoma WA, 56035"
5105600050,0000151028,2025-05-05,USD,4500000079,31164.13,posted,"Tax invoice: label stock - goods supplied, Q1/2025","[""label stock - goods supplied, Q1/2025"", ""packaging and freight"", ""handling charges""]",79-7473818,"102 Cooperage Drive, Cincinnati OH, 82066, US"
5105600051,0000177260,2025-12-23,USD,4500000096,42857.86,posted,"Invoice for charges for inbound freight, month of November 2025","[{""sno"": 1, ""text"": ""charges for inbound freight, month of November 2025"", ""qty"": 1, ""amount"": ""13232.57""}, {""sno"": 2, ""text"": ""handling charges"", ""qty"": 1, ""amount"": ""728.10""}, {""sno"": 3, ""text"": ""administration fee"", ""qty"": 1, ""amount"": ""28897.19""}]",70-6250260,"27 Harbor Point Road, Fresno CA, 78324, US"
5105600052,0000157291,2024-04-28,USD,4500000033,41149.17,posted,"Tax invoice: charges for boiler inspection, Jan-Mar 2024","[{""sno"": 1, ""text"": ""charges for boiler inspection, Jan-Mar 2024"", ""qty"": 1, ""amount"": ""41149.17""}]",45-2474884,"215 Depot St, Fresno CA, 81130"
5105600053,0000167802,2024-11-04,USD,4500000040,14380.58,posted,"Billing - boiler inspection carried out, Jul-Sep 2024","[""boiler inspection carried out, Jul-Sep 2024"", ""fuel surcharge"", ""fuel surcharge""]",92-3944387,"217 Kiln Lane, Milwaukee WI, 83103, US"
5105600054,0000166375,2025-01-25,USD,4500000039,14905.36,posted,"conveyor servicing carried out, December 2024","[""conveyor servicing carried out, December 2024""]",83-3318153,"220 Union Wharf Drive, Savannah GA, US"
5105600055,0000155836,2025-04-11,USD,4500000032,24705.17,posted,"boiler inspection works, Mar/2025","[{""sno"": 1, ""text"": ""boiler inspection works, Mar/2025"", ""qty"": 1, ""amount"": ""10550.18""}, {""sno"": 2, ""text"": ""handling charges"", ""qty"": 1, ""amount"": ""8311.18""}, {""sno"": 3, ""text"": ""administration fee"", ""qty"": 1, ""amount"": ""5843.81""}]",605517580,"87 Union Wharf Drive, Newark NJ, 20821"
5105600056,0000110264,2024-06-07,USD,4500000055,11152.79,posted,"Tax invoice: corn syrup deliveries, May 2024","[{""sno"": 1, ""text"": ""corn syrup deliveries, May 2024"", ""qty"": 1, ""amount"": ""11152.79""}]",427903254,"218 Cooperage Drive, Tacoma WA, 82307, US"
5105600057,0000155836,2025-04-29,USD,4500000082,55132.64,posted,"plant engineering support works, January to March 2025 as per agreement","[{""sno"": 1, ""text"": ""plant engineering support works, January to March 2025"", ""qty"": 1, ""amount"": ""33973.86""}, {""sno"": 2, ""text"": ""fuel surcharge"", ""qty"": 1, ""amount"": ""21158.78""}]",60-5517580,"87 Union Wharf Dr, Newark NJ, US"
5105600058,0000135271,2025-04-08,EUR,4500000019,32140.73,posted,"supply of emulsifier blend, Q1/2025","[""supply of emulsifier blend, Q1/2025"", ""packaging and freight"", ""packaging and freight""]",NO 799206041MVA,"Havnegata 195, Trondheim, 9843, NO"
5105600059,0000138405,2024-10-15,USD,4500000021,52955.90,posted,"supply of polystyrene sheet, July to September 2024 as per agreement","[""supply of polystyrene sheet, July to September 2024""]",893799578,"209 Union Wharf Dr, Louisville KY, 98835, US"
5105600060,0000114501,2024-04-10,USD,4500000057,47710.29,posted,"corn syrup - goods supplied, January to March 2024","[""corn syrup - goods supplied, January to March 2024""]",74-7102493,"24 Depot St, Newark NJ, 25923, US"
5105600061,0000154170,2026-02-02,USD,4500000031,85282.63,posted,"Tax invoice: equipment calibration - services rendered, Oct-Dec 2025","[{""sno"": 1, ""text"": ""equipment calibration - services rendered, Oct-Dec 2025"", ""qty"": 1, ""amount"": ""39670.41""}, {""sno"": 2, ""text"": ""packaging and freight"", ""qty"": 1, ""amount"": ""28597.45""}, {""sno"": 3, ""text"": ""handling charges"", ""qty"": 1, ""amount"": ""17014.77""}]",298252113,"169 Ironworks Pkwy, Milwaukee WI, 92426"
5105600062,0000182157,2024-02-26,USD,4500000099,10259.25,posted,"polypropylene resin deliveries, month of January 2024","[""polypropylene resin deliveries, month of January 2024""]",24-6614774,"209 Union Wharf Dr, Louisville KY, 98835, US"
5105600063,0000103417,2024-06-11,USD,4500000051,10206.05,posted,"Billing - invert syrup - goods supplied, May/2024","[""invert syrup - goods supplied, May/2024""]",746570966,"145 Kiln Ln, Newark NJ, 72705, US"
5105600064,0000140112,2025-10-15,GBP,4500000022,5404.37,posted,"Invoice for supply of label stock, July to September 2025","[""supply of label stock, July to September 2025""]",GB 119756443,"104 Quayside Trading Estate, Swansea, SA13 8DV, GB"
5105600065,0000161885,2024-09-30,USD,4500000086,4534.06,posted,"Billing - preventive maintenance works, August 2024","[""preventive maintenance works, August 2024"", ""handling charges""]",89-9357721,"65 Ironworks Pkwy, Tacoma WA, 56035"
5105600066,0000146530,2024-04-15,USD,4500000076,37758.94,posted,"corrugated carton - goods supplied, Jan-Mar 2024","[""corrugated carton - goods supplied, Jan-Mar 2024""]",548675281,"213 Foundry Ave, Chicago IL, 82339, US"
5105600067,0000112938,2025-11-10,USD,4500000056,10928.19,posted,"Tax invoice: charges for cane sugar, month of October 2025","[{""sno"": 1, ""text"": ""charges for cane sugar, month of October 2025"", ""qty"": 1, ""amount"": ""4275.15""}, {""sno"": 2, ""text"": ""administration fee"", ""qty"": 1, ""amount"": ""6653.04""}]",66-8424535,"197 Canal Street, Tacoma WA, 32777, US"
5105600068,0000164918,2025-02-01,USD,4500000038,119650.67,posted,"Billing - preventive maintenance carried out, Q4/2024","[""preventive maintenance carried out, Q4/2024""]",88-1612721,"157 Cooperage Dr, Louisville KY, 76756, US"
5105600069,0000138405,2024-10-30,USD,4500000021,37962.67,posted,"Tax invoice: polystyrene sheet consignments, Jul-Sep 2024","[""polystyrene sheet consignments, Jul-Sep 2024"", ""administration fee"", ""administration fee""]",89-3799578,"209 Union Wharf Drive, Louisville KY, 98835, US"
5105600070,0000182157,2025-06-03,USD,4500000049,3620.00,posted,"polypropylene resin deliveries, month of May 2025 as per agreement","[""polypropylene resin deliveries, month of May 2025""]",24-6614774,"209 Union Wharf Dr, Louisville KY, 98835, US"
5105600071,0000151028,2025-04-08,USD,4500000079,4194.27,posted,"Billing - charges for label stock, Jan-Mar 2025","[""charges for label stock, Jan-Mar 2025"", ""handling charges""]",797473818,"102 Cooperage Drive, Cincinnati OH, US"
5105600072,0000121608,2025-01-23,EUR,4500000061,15911.04,posted,"supply of oxybenzone, Q4/2024 as per agreement","[{""sno"": 1, ""text"": ""supply of oxybenzone, Q4/2024"", ""qty"": 1, ""amount"": ""8886.52""}, {""sno"": 2, ""text"": ""fuel surcharge"", ""qty"": 1, ""amount"": ""7024.52""}]",DE619213605,"Werkstr. 31, Nuernberg, 83139, DE"
5105600073,0000143209,2025-07-03,USD,4500000074,25816.70,posted,"Billing - polystyrene sheet consignments, Q2/2025","[{""sno"": 1, ""text"": ""polystyrene sheet consignments, Q2/2025"", ""qty"": 1, ""amount"": ""11388.37""}, {""sno"": 2, ""text"": ""delivery charges"", ""qty"": 1, ""amount"": ""14428.33""}]",44-3441110,"112 Ironworks Parkway, Chicago IL, 98375, US"
5105600074,0000149657,2025-04-08,USD,4500000078,41926.87,posted,"Invoice for bottle closure - goods supplied, January to March 2025","[""bottle closure - goods supplied, January to March 2025""]",22-7691279,"159 Foundry Avenue, Tacoma WA, 35733, US"
5105600075,0000169446,2026-01-26,USD,4500000041,11468.00,posted,"Invoice for boiler inspection works, October to December 2025","[{""sno"": 1, ""text"": ""boiler inspection works, October to December 2025"", ""qty"": 1, ""amount"": ""11468.00""}]",17-7522467,"118 Beckford Rd, Newark NJ, 43592, US"
5105600076,0000160317,2024-07-10,USD,4500000085,23697.46,posted,"provision of preventive maintenance, April to June 2024","[""provision of preventive maintenance, April to June 2024"", ""delivery charges""]",43-6736587,"130 Harbor Point Road, Milwaukee WI, 71714, US"
5105600077,0000154170,2025-01-20,USD,4500000081,24535.02,posted,"Tax invoice: provision of conveyor servicing, December 2024","[{""sno"": 1, ""text"": ""provision of conveyor servicing, December 2024"", ""qty"": 1, ""amount"": ""24535.02""}]",298252113,"169 Ironworks Pkwy, Milwaukee WI, 92426"
5105600078,0000103417,2025-10-25,USD,4500000001,3770.19,posted,"Tax invoice: refined flour consignments, September 2025","[""refined flour consignments, September 2025""]",746570966,"145 Kiln Lane, Newark NJ, 72705, US"
5105600079,0000116877,2024-07-11,EUR,4500000058,11963.84,posted,"invert syrup deliveries, April to June 2024","[{""sno"": 1, ""text"": ""invert syrup deliveries, April to June 2024"", ""qty"": 1, ""amount"": ""6803.70""}, {""sno"": 2, ""text"": ""handling charges"", ""qty"": 1, ""amount"": ""544.53""}, {""sno"": 3, ""text"": ""administration fee"", ""qty"": 1, ""amount"": ""4615.61""}]",NL 323042355B01,"Industrieweg 117, Eindhoven, 5205 QE"
5105600080,0000118340,2025-04-03,USD,4500000059,73347.72,posted,"cocoa powder - goods supplied, first quarter 2025","[{""sno"": 1, ""text"": ""cocoa powder - goods supplied, first quarter 2025"", ""qty"": 1, ""amount"": ""13657.37""}, {""sno"": 2, ""text"": ""packaging and freight"", ""qty"": 1, ""amount"": ""33419.82""}, {""sno"": 3, ""text"": ""handling charges"", ""qty"": 1, ""amount"": ""26270.53""}]",11-4367691,"174 Cooperage Dr, Newark NJ, 91970, US"
5105600081,0000151028,2026-01-25,USD,4500000079,64034.38,posted,"Billing - charges for polystyrene sheet, fourth quarter 2025","[""charges for polystyrene sheet, fourth quarter 2025"", ""fuel surcharge""]",79-7473818,"102 Cooperage Dr, Cincinnati OH, 82066"
5105600082,0000154170,2025-07-04,USD,4500000031,87634.96,posted,"Tax invoice: supply of spare parts, Apr-Jun 2025","[""supply of spare parts, Apr-Jun 2025"", ""handling charges"", ""delivery charges""]",29-8252113,"169 Ironworks Parkway, Milwaukee WI, 92426, US"
5105600083,0000114501,2025-01-11,USD,4500000057,47576.86,posted,"charges for food grade salt, fourth quarter 2024","[""charges for food grade salt, fourth quarter 2024""]",74-7102493,"24 Depot St, Newark NJ, US"
5105600084,0000172588,2024-07-20,USD,4500000043,55528.85,posted,"Billing - emergency callout support carried out, second quarter 2024","[""emergency callout support carried out, second quarter 2024"", ""delivery charges""]",126965603,"177 Millrace Boulevard, Louisville KY, 93623, US"
5105600085,0000104882,2024-04-18,GBP,4500000002,60242.08,posted,"charges for refined flour, Q1/2024 as per agreement","[""charges for refined flour, Q1/2024""]",GB993905029,"142 Quayside Trd Est, Sheffield, S4 1PO, GB"
5105600086,0000144873,2025-11-05,USD,4500000025,35299.21,posted,"flexible film consignments, Jul-Sep 2025 as per agreement","[""flexible film consignments, Jul-Sep 2025"", ""fuel surcharge""]",513586859,"196 Foundry Avenue, Cincinnati OH, US"
5105600087,0000108710,2025-04-19,USD,4500000054,111289.50,posted,"Invoice for paprika extract consignments, first quarter 2025","[""paprika extract consignments, first quarter 2025"", ""delivery charges"", ""packaging and freight""]",62-2252212,"154 Millrace Boulevard, Louisville KY, 55516, US"
5105600088,0000136938,2026-01-21,USD,4500000020,2262.17,posted,"Invoice for metofluthrin deliveries, month of December 2025","[""metofluthrin deliveries, month of December 2025"", ""fuel surcharge""]",61-6339473,"195 Ironworks Parkway, Tacoma WA, 20473, US"
5105600089,0000178835,2024-02-08,USD,4500000047,11846.86,posted,"Invoice for charges for pallet storage, January 2024","[""charges for pallet storage, January 2024"", ""fuel surcharge"", ""fuel surcharge""]",65-3769642,"45 Cooperage Dr, Savannah GA, 53750"
5105600090,0000143209,2025-05-01,USD,4500000074,19587.15,posted,"polystyrene sheet deliveries, Jan-Mar 2025 as per agreement","[{""sno"": 1, ""text"": ""polystyrene sheet deliveries, Jan-Mar 2025"", ""qty"": 1, ""amount"": ""19587.15""}]",,"112 Ironworks Parkway, Chicago IL, 98375, US"
5105600091,0000182157,2025-06-19,USD,4500000049,2137.80,posted,"Billing - polypropylene resin - goods supplied, May 2025","[{""sno"": 1, ""text"": ""polypropylene resin - goods supplied, May 2025"", ""qty"": 1, ""amount"": ""2137.80""}]",24-6614774,"209 Union Wharf Drive, Louisville KY, 98835, US"
5105600092,0000178835,2025-10-14,USD,4500000097,13471.39,posted,"outbound distribution - services rendered, Sep/2025 as per agreement","[""outbound distribution - services rendered, Sep/2025"", ""packaging and freight""]",65-3769642,"45 Cooperage Drive, Savannah GA, 53750, US"
5105600093,0000148194,2024-10-12,USD,4500000077,45086.98,posted,"Tax invoice: label stock - goods supplied, Q3/2024","[""label stock - goods supplied, Q3/2024"", ""handling charges"", ""fuel surcharge""]",,"113 Canal Street, Tacoma WA, 38604, US"
5105600094,0000180492,2026-01-13,USD,4500000048,79378.38,posted,"conveyor servicing works, Oct-Dec 2025 as per agreement","[""conveyor servicing works, Oct-Dec 2025"", ""administration fee"", ""administration fee""]",26-9586837,"169 Ironworks Pkwy, Milwaukee WI, 92426, US"
5105600095,0000180492,2026-02-01,USD,4500000048,10970.66,posted,"Billing - provision of conveyor servicing, October to December 2025","[""provision of conveyor servicing, October to December 2025"", ""fuel surcharge""]",,"169 Ironworks Parkway, Milwaukee WI, 92426, US"
5105600096,0000182157,2025-06-21,USD,4500000049,2544.35,posted,"Billing - polypropylene resin - goods supplied, month of May 2025","[""polypropylene resin - goods supplied, month of May 2025""]",246614774,"209 Union Wharf Dr, Louisville KY, 98835, US"
